cdc_origine,cdc_destinazione,driver,quota
S2-AUX-009,S2-PRD-010,ore_produzione,0.2878
S2-AUX-009,S2-PRD-016,ore_produzione,0.2575
S2-AUX-009,S2-PRD-009,ore_produzione,0.1582
S2-AUX-009,S2-PRD-031,ore_produzione,0.2965
S2-AUX-010,S2-PRD-024,ore_produzione,0.3511
S2-AUX-010,S2-PRD-011,ore_produzione,0.1571
S2-AUX-010,S2-PRD-039,ore_produzione,0.2036
S2-AUX-010,S2-PRD-008,ore_produzione,0.2882
S2-AUX-011,S2-PRD-020,consumo_kwh,0.3272
S2-AUX-011,S2-PRD-037,consumo_kwh,0.1365
S2-AUX-011,S2-PRD-025,consumo_kwh,0.2375
S2-AUX-011,S2-PRD-026,consumo_kwh,0.2988
S2-AUX-012,S2-PRD-016,headcount,0.3215
S2-AUX-012,S2-PRD-007,headcount,0.3189
S2-AUX-012,S2-PRD-020,headcount,0.2539
S2-AUX-012,S2-PRD-039,headcount,0.1057
S2-STR-001,S2-PRD-035,costi_diretti,0.2327
S2-STR-001,S2-PRD-028,costi_diretti,0.5673
S2-STR-001,S2-PRD-024,costi_diretti,0.2000
S2-STR-002,S2-PRD-027,costi_diretti,0.2854
S2-STR-002,S2-PRD-032,costi_diretti,0.2588
S2-STR-002,S2-PRD-007,costi_diretti,0.4558
S2-STR-003,S2-PRD-030,headcount,0.2169
S2-STR-003,S2-PRD-010,headcount,0.3641
S2-STR-003,S2-PRD-028,headcount,0.4190
S2-STR-004,S2-PRD-035,headcount,0.3158
S2-STR-004,S2-PRD-031,headcount,0.4371
S2-STR-004,S2-PRD-030,headcount,0.2471
S2-STR-005,S2-PRD-016,headcount,0.4691
S2-STR-005,S2-PRD-006,headcount,0.2228
S2-STR-005,S2-PRD-018,headcount,0.3081
S2-STR-006,S2-PRD-025,mq_occupati,0.3588
S2-STR-006,S2-PRD-022,mq_occupati,0.2854
S2-STR-006,S2-PRD-002,mq_occupati,0.3558
S3-AUX-001,S3-PRD-023,ore_intervento,0.3791
S3-AUX-001,S3-PRD-017,ore_intervento,0.3232
S3-AUX-001,S3-PRD-022,ore_intervento,0.1904
S3-AUX-001,S3-PRD-018,ore_intervento,0.1073
S3-AUX-002,S3-PRD-013,ore_intervento,0.2099
S3-AUX-002,S3-PRD-006,ore_intervento,0.2787
S3-AUX-002,S3-PRD-016,ore_intervento,0.2614
S3-AUX-002,S3-PRD-027,ore_intervento,0.2500
S3-AUX-003,S3-PRD-032,ore_intervento,0.2135
S3-AUX-003,S3-PRD-029,ore_intervento,0.2510
S3-AUX-003,S3-PRD-002,ore_intervento,0.1962
S3-AUX-003,S3-PRD-006,ore_intervento,0.3393
S3-AUX-004,S3-PRD-024,n_movimentazioni,0.3608
S3-AUX-004,S3-PRD-031,n_movimentazioni,0.2398
S3-AUX-004,S3-PRD-023,n_movimentazioni,0.1859
S3-AUX-004,S3-PRD-028,n_movimentazioni,0.2135
S3-AUX-005,S3-PRD-020,n_movimentazioni,0.2595
S3-AUX-005,S3-PRD-017,n_movimentazioni,0.1597
S3-AUX-005,S3-PRD-015,n_movimentazioni,0.2648
S3-AUX-005,S3-PRD-008,n_movimentazioni,0.3160
S3-AUX-006,S3-PRD-012,n_movimentazioni,0.1715
S3-AUX-006,S3-PRD-013,n_movimentazioni,0.2595
S3-AUX-006,S3-PRD-014,n_movimentazioni,0.3075
S3-AUX-006,S3-PRD-031,n_movimentazioni,0.2615
S3-AUX-007,S3-PRD-007,ore_produzione,0.2452
S3-AUX-007,S3-PRD-013,ore_produzione,0.2245
S3-AUX-007,S3-PRD-019,ore_produzione,0.3678
S3-AUX-007,S3-PRD-015,ore_produzione,0.1625
S3-AUX-008,S3-PRD-003,ore_produzione,0.3421
S3-AUX-008,S3-PRD-004,ore_produzione,0.3826
S3-AUX-008,S3-PRD-019,ore_produzione,0.1536
S3-AUX-008,S3-PRD-009,ore_produzione,0.1217
S3-AUX-009,S3-PRD-019,ore_produzione,0.1733
S3-AUX-009,S3-PRD-031,ore_produzione,0.1288
S3-AUX-009,S3-PRD-029,ore_produzione,0.4265
S3-AUX-009,S3-PRD-022,ore_produzione,0.2714
S3-AUX-010,S3-PRD-005,ore_produzione,0.1456
S3-AUX-010,S3-PRD-026,ore_produzione,0.3436
S3-AUX-010,S3-PRD-032,ore_produzione,0.3851
S3-AUX-010,S3-PRD-004,ore_produzione,0.1257
S3-AUX-011,S3-PRD-016,consumo_kwh,0.3001
S3-AUX-011,S3-PRD-008,consumo_kwh,0.1931
S3-AUX-011,S3-PRD-027,consumo_kwh,0.3361
S3-AUX-011,S3-PRD-015,consumo_kwh,0.1707
S3-STR-001,S3-PRD-028,costi_diretti,0.2860
S3-STR-001,S3-PRD-020,costi_diretti,0.3255
S3-STR-001,S3-PRD-004,costi_diretti,0.3885
S3-STR-002,S3-PRD-014,costi_diretti,0.3488
S3-STR-002,S3-PRD-017,costi_diretti,0.3607
S3-STR-002,S3-PRD-006,costi_diretti,0.2905
S3-STR-003,S3-PRD-001,headcount,0.4666
S3-STR-003,S3-PRD-027,headcount,0.3665
S3-STR-003,S3-PRD-029,headcount,0.1669
S3-STR-004,S3-PRD-019,headcount,0.3003
S3-STR-004,S3-PRD-030,headcount,0.3699
S3-STR-004,S3-PRD-005,headcount,0.3298
S3-STR-005,S3-PRD-013,headcount,0.2831
S3-STR-005,S3-PRD-028,headcount,0.3164
S3-STR-005,S3-PRD-008,headcount,0.4005
S3-STR-006,S3-PRD-010,mq_occupati,0.2246
S3-STR-006,S3-PRD-005,mq_occupati,0.2884
S3-STR-006,S3-PRD-004,mq_occupati,0.4870
HQ-DIR-001,COM-ITA-029,costi_diretti,0.2884
HQ-DIR-001,S2-PRD-029,costi_diretti,0.2292
HQ-DIR-001,S3-PRD-029,costi_diretti,0.2646
HQ-DIR-001,S1-PRD-032,costi_diretti,0.2178
HQ-DIR-002,COM-ITA-022,costi_diretti,0.2239
HQ-DIR-002,COM-ITA-010,costi_diretti,0.2940
HQ-DIR-002,S3-PRD-029,costi_diretti,0.2568
HQ-DIR-002,S1-PRD-021,costi_diretti,0.2253
HQ-DIR-003,S1-PRD-007,costi_diretti,0.2491
HQ-DIR-003,S1-PRD-024,costi_diretti,0.1935
HQ-DIR-003,S2-PRD-014,costi_diretti,0.2735
HQ-DIR-003,COM-EST-012,costi_diretti,0.2839
HQ-DIR-004,COM-EST-012,costi_diretti,0.3392
HQ-DIR-004,S2-PRD-024,costi_diretti,0.1573
HQ-DIR-004,COM-ITA-031,costi_diretti,0.2636
HQ-DIR-004,S1-PRD-011,costi_diretti,0.2399
HQ-DIR-005,S2-PRD-027,costi_diretti,0.3339
HQ-DIR-005,S2-PRD-002,costi_diretti,0.2846
HQ-DIR-005,COM-ITA-033,costi_diretti,0.1465
HQ-DIR-005,S3-PRD-028,costi_diretti,0.2350
HQ-AFC-001,S3-PRD-002,costi_diretti,0.3400
HQ-AFC-001,S2-PRD-038,costi_diretti,0.1893
HQ-AFC-001,COM-EST-011,costi_diretti,0.2932
HQ-AFC-001,S1-PRD-027,costi_diretti,0.1775
HQ-AFC-002,S3-PRD-019,costi_diretti,0.1645
HQ-AFC-002,COM-ITA-024,costi_diretti,0.2286
HQ-AFC-002,S1-PRD-010,costi_diretti,0.1753
HQ-AFC-002,S3-PRD-033,costi_diretti,0.4316
HQ-AFC-003,COM-ITA-015,costi_diretti,0.2659
HQ-AFC-003,S1-PRD-001,costi_diretti,0.1296
HQ-AFC-003,COM-EST-008,costi_diretti,0.2848
HQ-AFC-003,COM-ITA-022,costi_diretti,0.3197
HQ-AFC-004,COM-ITA-011,costi_diretti,0.1555
HQ-AFC-004,COM-ITA-044,costi_diretti,0.2557
HQ-AFC-004,S3-PRD-030,costi_diretti,0.3653
HQ-AFC-004,S1-PRD-014,costi_diretti,0.2235
HQ-AFC-005,COM-EST-018,costi_diretti,0.3943
HQ-AFC-005,COM-ITA-008,costi_diretti,0.2844
HQ-AFC-005,S1-PRD-032,costi_diretti,0.1728
HQ-AFC-005,S1-PRD-008,costi_diretti,0.1485
HQ-AFC-006,COM-ITA-025,costi_diretti,0.1613
HQ-AFC-006,S1-PRD-004,costi_diretti,0.3395
HQ-AFC-006,S3-PRD-021,costi_diretti,0.1291
HQ-AFC-006,S1-PRD-024,costi_diretti,0.3701
HQ-AFC-007,COM-EST-005,costi_diretti,0.1936
HQ-AFC-007,S1-PRD-040,costi_diretti,0.3217
HQ-AFC-007,COM-ITA-011,costi_diretti,0.2319
HQ-AFC-007,COM-EST-023,costi_diretti,0.2528
HQ-AFC-008,COM-ITA-004,costi_diretti,0.1586
HQ-AFC-008,S2-PRD-018,costi_diretti,0.1738
HQ-AFC-008,S3-PRD-033,costi_diretti,0.3094
HQ-AFC-008,COM-ITA-025,costi_diretti,0.3582
HQ-AFC-009,S1-PRD-035,costi_diretti,0.2465
HQ-AFC-009,S1-PRD-018,costi_diretti,0.4105
HQ-AFC-009,S2-PRD-026,costi_diretti,0.2199
HQ-AFC-009,S3-PRD-023,costi_diretti,0.1231
HQ-AFC-010,COM-MKT-001,costi_diretti,0.3797
HQ-AFC-010,S2-PRD-032,costi_diretti,0.2345
HQ-AFC-010,COM-ITA-034,costi_diretti,0.1373
HQ-AFC-010,COM-ITA-032,costi_diretti,0.2485
HQ-ICT-001,S3-PRD-005,n_utenti_it,0.1581
HQ-ICT-001,S3-PRD-002,n_utenti_it,0.2818
HQ-ICT-001,COM-ITA-025,n_utenti_it,0.2677
HQ-ICT-001,COM-ITA-023,n_utenti_it,0.2924
HQ-ICT-002,S2-PRD-017,n_utenti_it,0.3507
HQ-ICT-002,COM-ITA-030,n_utenti_it,0.2194
HQ-ICT-002,S3-PRD-015,n_utenti_it,0.1921
HQ-ICT-002,S2-PRD-015,n_utenti_it,0.2378
HQ-ICT-003,S3-PRD-014,n_utenti_it,0.3924
HQ-ICT-003,S3-PRD-015,n_utenti_it,0.2475
HQ-ICT-003,COM-EST-009,n_utenti_it,0.1106
HQ-ICT-003,COM-EST-006,n_utenti_it,0.2495
HQ-ICT-004,COM-ITA-035,n_utenti_it,0.1730
HQ-ICT-004,S3-PRD-001,n_utenti_it,0.4969
HQ-ICT-004,S1-PRD-026,n_utenti_it,0.1393
HQ-ICT-004,S3-PRD-029,n_utenti_it,0.1908
HQ-ICT-005,COM-EST-007,n_utenti_it,0.3278
HQ-ICT-005,S1-PRD-040,n_utenti_it,0.1760
HQ-ICT-005,S1-PRD-020,n_utenti_it,0.2813
HQ-ICT-005,COM-ITA-004,n_utenti_it,0.2149
HQ-ICT-006,S1-PRD-021,n_utenti_it,0.2033
HQ-ICT-006,S3-PRD-001,n_utenti_it,0.1853
HQ-ICT-006,COM-EST-012,n_utenti_it,0.2999
HQ-ICT-006,COM-ITA-020,n_utenti_it,0.3115
HQ-ICT-007,COM-ITA-022,n_utenti_it,0.2053
HQ-ICT-007,S1-PRD-010,n_utenti_it,0.3678
HQ-ICT-007,COM-ITA-042,n_utenti_it,0.2243
HQ-ICT-007,S1-PRD-018,n_utenti_it,0.2026
HQ-ICT-008,S1-PRD-024,n_utenti_it,0.3984
HQ-ICT-008,S3-PRD-028,n_utenti_it,0.1666
HQ-ICT-008,S1-PRD-026,n_utenti_it,0.1919
HQ-ICT-008,COM-EST-002,n_utenti_it,0.2431
HQ-HR-001,S1-PRD-008,headcount,0.2340
HQ-HR-001,S1-PRD-012,headcount,0.2644
HQ-HR-001,S2-PRD-039,headcount,0.1788
HQ-HR-001,S1-PRD-015,headcount,0.3228
HQ-HR-002,COM-ITA-028,headcount,0.1597
HQ-HR-002,COM-EST-014,headcount,0.2962
HQ-HR-002,S2-PRD-002,headcount,0.2249
HQ-HR-002,S1-PRD-044,headcount,0.3192
HQ-HR-003,COM-ITA-011,headcount,0.3435
HQ-HR-003,COM-ITA-033,headcount,0.2539
HQ-HR-003,S1-PRD-037,headcount,0.2545
HQ-HR-003,S2-PRD-015,headcount,0.1481
HQ-HR-004,COM-ITA-003,headcount,0.1714
HQ-HR-004,S2-PRD-029,headcount,0.2704
HQ-HR-004,COM-EST-013,headcount,0.2369
HQ-HR-004,COM-ITA-023,headcount,0.3213
HQ-HR-005,COM-EST-003,headcount,0.2003
HQ-HR-005,S3-PRD-025,headcount,0.1611
HQ-HR-005,COM-EST-016,headcount,0.3378
HQ-HR-005,S2-PRD-020,headcount,0.3008
HQ-HR-006,S1-PRD-028,headcount,0.2555
HQ-HR-006,S2-PRD-016,headcount,0.2322
HQ-HR-006,S3-PRD-014,headcount,0.3811
HQ-HR-006,COM-ITA-030,headcount,0.1312
HQ-ACQ-001,COM-EST-008,valore_acquistato,0.2662
HQ-ACQ-001,S3-PRD-018,valore_acquistato,0.3016
HQ-ACQ-001,S2-PRD-026,valore_acquistato,0.3191
HQ-ACQ-001,S1-PRD-003,valore_acquistato,0.1131
HQ-ACQ-002,COM-ITA-039,valore_acquistato,0.3301
HQ-ACQ-002,COM-MKT-006,valore_acquistato,0.1677
HQ-ACQ-002,COM-ITA-011,valore_acquistato,0.3379
HQ-ACQ-002,S2-PRD-029,valore_acquistato,0.1643
HQ-ACQ-003,S2-PRD-004,valore_acquistato,0.2964
HQ-ACQ-003,COM-ITA-042,valore_acquistato,0.2996
HQ-ACQ-003,S2-PRD-020,valore_acquistato,0.2760
HQ-ACQ-003,COM-EST-013,valore_acquistato,0.1280
HQ-ACQ-004,S1-PRD-025,valore_acquistato,0.1892
HQ-ACQ-004,COM-ITA-044,valore_acquistato,0.2280
HQ-ACQ-004,COM-EST-005,valore_acquistato,0.2689
HQ-ACQ-004,S1-PRD-011,valore_acquistato,0.3139
HQ-ACQ-005,S1-PRD-024,valore_acquistato,0.2073
HQ-ACQ-005,S2-PRD-031,valore_acquistato,0.1479
HQ-ACQ-005,S2-PRD-039,valore_acquistato,0.3100
HQ-ACQ-005,COM-MKT-007,valore_acquistato,0.3348
HQ-ACQ-006,S3-PRD-010,valore_acquistato,0.3122
HQ-ACQ-006,COM-ITA-019,valore_acquistato,0.1584
HQ-ACQ-006,COM-ITA-012,valore_acquistato,0.3107
HQ-ACQ-006,S2-PRD-025,valore_acquistato,0.2187
HQ-LEG-001,S2-PRD-031,costi_diretti,0.2806
HQ-LEG-001,COM-MKT-007,costi_diretti,0.1430
HQ-LEG-001,S3-PRD-003,costi_diretti,0.3807
HQ-LEG-001,S1-PRD-030,costi_diretti,0.1957
HQ-LEG-002,COM-EST-013,costi_diretti,0.3052
HQ-LEG-002,COM-MKT-001,costi_diretti,0.2670
HQ-LEG-002,COM-EST-012,costi_diretti,0.1640
HQ-LEG-002,S3-PRD-018,costi_diretti,0.2638
HQ-LEG-003,S1-PRD-004,costi_diretti,0.2120
HQ-LEG-003,S2-PRD-023,costi_diretti,0.2706
HQ-LEG-003,COM-ITA-021,costi_diretti,0.2705
HQ-LEG-003,S1-PRD-032,costi_diretti,0.2469
HQ-LEG-004,COM-EST-003,costi_diretti,0.1867
HQ-LEG-004,S3-PRD-012,costi_diretti,0.1180
HQ-LEG-004,S1-PRD-028,costi_diretti,0.4008
HQ-LEG-004,COM-EST-012,costi_diretti,0.2945
